state,mean,sd,median,n
0,0.0019040214232304653,0.022526261299374444,0.001991713181403121,582
1,0.0013544834271568247,0.007707014197536005,0.0006012353132007764,510
2,0.000896872571228746,0.01563837704059904,0.001507012026792598,771
3,-0.001983429499525642,0.04074366749033426,-0.0008738509854939736,179
4,0.000441665469730784,0.011716507978941061,0.0004418937702599379,688
