k,loglik,n_params,AIC,BIC,seed
2,-5946.343622366025,11,11914.68724473205,11979.719870502018,2153
3,-5047.116548306332,20,10134.233096612665,10252.474234376245,2081
4,-4422.534386781398,31,8907.068773562796,9090.342537096345,2179
5,-3984.501474924068,44,8057.002949848136,8317.133452928012,2209
