Date,ret,vol,state,prob_S1,prob_S2,prob_S3,prob_S4,prob_S5,date_num
2015-01-16,-0.007800413185017341,0.02073640905272627,0,1.0,0.0,3.4680788703954565e-108,6.6381555485638375e-102,0.0,0
2015-01-20,0.025430963918353644,0.0203949196012534,0,0.9997277303620765,1.177857732034649e-24,0.0001609896673796827,0.00011127997072438988,1.8668704059107654e-16,1
2015-01-21,0.007605520833524615,0.020442994191585264,0,0.999650513025657,2.3014031161224074e-23,0.00026000159002787844,8.948538433261122e-05,1.3776982228042597e-15,2
2015-01-22,0.02568276444439288,0.021451277599974526,0,0.9995800852754613,8.256554038703343e-28,0.00029813181069754716,0.00012178291383774539,8.149544833169055e-19,3
2015-01-23,0.00514667831324811,0.017998538343571267,0,0.9587204481518578,1.9935135177412528e-16,0.04110044267011002,0.00017910759380440215,1.584283700044522e-09,4
2015-01-26,0.001061675170904497,0.017998532291687266,0,0.958335545108026,2.4728050849544213e-16,0.0414315005212831,0.0002329507927754711,3.5777817341657954e-09,5
2015-01-27,-0.035641082538778956,0.01992382728464146,0,0.9977865002094806,2.791991380770432e-26,0.0014970787718800228,0.0007164210184694565,5.3960556197823355e-14,6
2015-01-28,0.05499270809056611,0.026488943610750357,0,0.9972861873255355,9.82819569060987e-53,1.0399628901554859e-11,0.002713812664215314,2.3529747670944366e-40,7
2015-01-29,0.03065874492745868,0.02750796741842858,0,0.9980621246427961,4.095795082373941e-51,2.078598480819992e-12,0.0019378753552439477,1.3938225360692202e-41,8
2015-01-30,-0.014742450816139119,0.0259288379668055,0,0.9993864104385047,9.887949588338454e-44,3.4093557127103175e-10,0.0006135892203840556,5.136425888045328e-33,9
2015-02-02,0.012468848070127159,0.025231653521121663,0,0.9997708856135084,5.359749994969671e-40,3.721782974511711e-09,0.00022911066489740808,4.63136273604689e-31,10
2015-02-03,0.00016889588363122598,0.024918604037610547,0,0.9998377005356349,1.1546409040230707e-38,9.083074569391961e-09,0.00016229038125212776,2.0841997652652786e-29,11
2015-02-04,0.0076398815893017336,0.024918432553475405,0,0.9998480083481356,1.2415427235103157e-38,9.276531411008542e-09,0.0001519823755151196,1.142377998695547e-29,12
2015-02-05,0.007112492776351509,0.024197329308407494,0,0.9998774146128683,6.271841789432855e-36,6.289330988808563e-08,0.000122522493779217,4.4253171351022746e-27,13
2015-02-06,-0.008456540721217376,0.024683502495216215,0,0.9998430211928196,3.01563871977558e-38,1.443104793414236e-08,0.00015696437603785306,2.004079186326542e-28,14
2015-02-09,0.00662064752750835,0.02463433009136543,0,0.9998307484776205,3.0294298876097253e-37,6.842662800387032e-07,0.00016856725620561095,1.1368597285099066e-27,15
2015-02-10,0.019029232335022517,0.019970977264121424,0,0.8929567569571706,1.5885617512892646e-20,0.10682138159257615,0.00022186144547232681,4.557941347764979e-12,16
2015-02-11,0.02316820444836054,0.013888225579053339,2,0.01696376365697113,6.195912222834314e-07,0.8656174078930053,6.35230232752537e-06,0.1174118565564927,17
2015-02-12,0.012572871073224245,0.011661882211562388,4,3.834900834614001e-05,0.008105394199385874,0.05725560409677792,8.141327837118209e-10,0.9346006518815808,18
2015-02-13,0.004890677176331515,0.00903396113138824,1,1.6691652163260406e-08,0.5903705219379876,5.1737375197548245e-05,7.515981856887651e-12,0.4095777239877327,19
2015-02-17,0.005884598062895208,0.008953886930525424,1,2.7678766269941467e-09,0.7731691172543627,3.902581445708403e-06,4.807597590514201e-14,0.22682697739641244,20
2015-02-18,0.006938098845292284,0.008554540793627892,1,1.2232213562122735e-09,0.8135389937608388,2.143342563934491e-06,3.905626699473836e-15,0.18645886167353642,21
2015-02-19,-0.0020995771271197228,0.009198589953036644,1,3.6876534257805566e-09,0.7112692661252635,5.40895838363253e-06,1.1618541090995316e-15,0.28872532122879,22
2015-02-20,0.00814112674966827,0.009198705599732026,1,6.887605297070008e-09,0.4872870483857374,8.734823285445268e-06,1.120314476246655e-13,0.5127042099034668,23
2015-02-23,0.026668212252706436,0.009062207762871326,4,9.537306859125025e-08,0.07079891760284668,6.167099132116704e-05,1.9975081965217016e-11,0.9291393160127207,24
2015-02-24,-0.006260357993893351,0.010572160241960449,4,1.3564265756847596e-06,0.004543462227665289,0.01035039209208525,3.1258665151180313e-10,0.9851047889411545,25
2015-02-25,-0.025905884007808133,0.014915077266698665,2,0.0005016089059811627,7.441216130596809e-11,0.9831055094558917,8.305476300769561e-09,0.016392873258403936,26
2015-02-26,0.012576839213538804,0.01385124020789923,2,4.0708749307182115e-05,5.715928433021752e-09,0.9946646693275341,3.672553131984115e-07,0.00529424895182058,27
2015-02-27,-0.015142013900584672,0.01476371497757859,2,6.457833294115039e-05,2.2103360763906987e-11,0.9994634150318457,3.47317352044911e-07,0.00047165929586022285,28
2015-03-02,0.004892191659546352,0.0147637528436099,2,4.873781033846166e-05,1.3114950288394954e-10,0.9996234694829833,2.1671314807960053e-07,0.0003275758623238893,29
2015-03-03,0.0020893112394873015,0.01468908874636789,2,4.571734049586229e-05,1.773517522688445e-10,0.9995372198632516,2.13795571095626e-07,0.0004168488235072727,30
2015-03-04,-0.006359209593813642,0.014712755530539783,2,5.03318629176182e-05,8.835758815409702e-11,0.9995438462582743,2.418255901814187e-07,0.00040557996469119063,31
2015-03-05,-0.01670944219052295,0.01562601143264839,2,0.00012807449201593436,6.465775298103736e-13,0.9998109741624582,3.8097527382496617e-07,6.0570369649194884e-05,32
2015-03-06,0.0015019909348303884,0.015303822446684186,2,9.159263906993414e-05,1.7703190356361305e-09,0.991741159438176,2.4411862266884163e-08,0.008167221740730635,33
